Datetime,Text,label
2022-05-08,leagueoflegends guy,0
2022-05-08,entertaining leagueoflegends content people get super tilted angry ie tyler explaining bad teamates funny asf sro funniest rage montage valkin flaming humzh think says lot league,1
2022-05-08,yes tower safest place lane completely infallible think think saying asinine yes back turret sacrificing waves deny kill assist gold end world,0
2022-05-08,need collectively obliterate leagueoflegends society,0
2022-05-08,potatoise arcane leagueoflegends,0
2022-05-08,live ranked leagueoflegends rn,0
2022-05-08,let ask care play satisfactory play phasmophobia play counter strike play leagueoflegends precious playstation course care,0
2022-05-08,make shelly summoned team choses tower dive target lane shelly tower targets shelly would increase value shelly imo,0
2022-05-08,leagueoflegends,0
2022-05-08,leagueoflegends,0
2022-05-08,leagueoflegends video post valorant strategy game gives instructions soldiers real time click link watch,0
2022-05-08,live playing leagueoflegends homies maybe flex queue,0
2022-05-08,cruyff barca first league title years humiliating madrid season season became manger barca league titles row reaching ucl finals well even include cruyff list legend barca laughable,1
2022-05-08,live schedule leagueoflegends,0
2022-05-08,would guys chill stream streamed leagueoflegends tonight talked ygo,1
2022-05-08,thanks everyone stopped stream today nearly ranked gold leagueoflegends also almost affiliate twitch,1
2022-05-08,bullied point tears elshamus thereaperofmarz chronobunny jcthemann obviavi antoinebonjour archie falls leagueoflegends,0
2022-05-08,interesting see rookie shakira austin matchup legend sylvia fowles tonight fowles welcome league one dominant performances austin keep,1
2022-05-08,leagueoflegends fifa,0
2022-05-08,seraphine leagueoflegends,0
2022-05-08,day asking make yasuo jungler dmg buff jungle camps ez,0
2022-05-08,pls put back nexus blitz mod friends love juste wait,1
2022-05-08,leagueoflegends bad,0
2022-05-08,logicool lol da pro leagueoflegends gx lightsync rgb,1
2022-05-08,would trust frames numbers thrown around probably fine keep mind ms ping leagueoflegends feel like ms web browser today even less budget feel fast,1
2022-05-08,accidentally typed leagueoflegends username twice today league launcher,1
2022-05-08,day leagueoflegends,0
2022-05-08,kindred enthusiast leagueoflegends account discord server,0
2022-05-08,hey guys decided start leagueoflegends coming back kayn jungle main hope support decision,1
2022-05-08,arcane leagueoflegends series look movie,0
2022-05-08,imagine dragons enemy series arcane leagueoflegends via,1
2022-05-08,guy plays leagueoflegends alone,0
2022-05-08,joke play leagueoflegends like goku training hyperbolic time chamber game,0
2022-05-08,like make gay,0
2022-05-08,jinx,0
2022-05-08,streaming twitch playing leagueoflegends,0
2022-05-08,eyy real nice king,0
2022-05-08,sona leagueoflegends,0
2022-05-08,couple league legends family,0
2022-05-08,volibear beast recorded,0
2022-05-08,literally started playing leagueoflegends,0
2022-05-08,high noon mordekaiser skin spotlight league oflegends,1
2022-05-08,leagueoflegends aram,0
2022-05-08,great stream today first win weekend league year sadly rewards worth dupe casillas moments pack heartbreaker appreciate love lately though legends,1
2022-05-08,vi leagueoflegends thursday night would like hang free thursday night free,0
2022-05-08,really hope viktor leagueoflegends arcane going villain walks cane,0
2022-05-08,leagueoflegends top streams las hora esp th antonioviewers xixauxasviewers,0
2022-05-08,leagueoflegends road gold,0
2022-05-08,videogame would like star leagueoflegends,0
2022-05-08,would never forget lt,0
2022-05-08,like pokmon leagueoflegends,0
2022-05-08,love hate relationship love game hates matches people actually good game every time,1
2022-05-08,usual streaming leagueoflegends kelgateskollections,0
2022-05-08,yes,0
2022-05-08,vs finally leagueoflegends mid season,0
2022-05-08,leagueoflegends grind ranked,0
2022-05-08,join discord case,0
2022-05-08,yh well idk ab followers twitter career isnt something im trying achieve understand followers play leagueoflegends means lot figured ur vocabulary either argue mentioning followers calling ppl random creative,0
2022-05-08,cont player legend king kop scored th consecutive premier league match,1
2022-05-08,leagueoflegends live oreinha via,0
2022-05-08,gta leagueoflegends,0
2022-05-08,osman streaming leagueoflegends minutes one watching go say hi make day tag favourite leagueoflegends streamer,1
2022-05-08,leagueoflegends pff like league dodges,0
2022-05-08,leagueoflegends,0
2022-05-08,solo alcohol leagueoflegends,1
2022-05-08,pool party,0
2022-05-08,play leagueoflegends,0
2022-05-08,please welcome new tempest gaming main leagueoflegends manager looking forward new staffed roster us look make moves summer proving grounds twitch,0
2022-05-08,yo going live right going play bit leagueoflegends see get new follower emotes new overlays live come vibe,1
2022-05-08,assist,0
2022-05-08,world warcraft runescape mans sky cod warzone cs go rocket league sea thieves leagueoflegends overwatch apex legends dota final fantasy xiv many,1
2022-05-08,leagueoflegends gta rp,0
2022-05-08,lol,1
2022-05-08,photo league ireland legend,1
2022-05-08,ever want beat leagueoflegends play tristana half mast whole game,0
2022-05-08,leagueoflegends video post valorant strategy game gives instructions soldiers real time click link watch,0
2022-05-08,power cuz ever become dad last thing kids touching leagueoflegends,1
2022-05-08,gt leagueoflegends gt team tank,0
2022-05-08,gotta respect long rekkles managed stay relevant leagueoflegends scene actually super impressive,0
2022-05-08,isso vs pink dragons leagueoflegends,0
2022-05-08,leagueoflegends,0
2022-05-08,thing skins leagueoflegends locked paywall choice whale spend money shame lot nice skins champions play wild rift recently,0
2022-05-08,honor leagueoflegends,0
2022-05-08,sitting bar raging hockey game josh playing leagueoflegends phone,0
2022-05-08,jax pentakill leagueoflegends,0
2022-05-08,leagueoflegends,0
2022-05-08,streaming twitch playing leagueoflegends,0
2022-05-08,stream gonna start pm cdt instead due needing eat gonna play leagueoflegends hubby,0
2022-05-08,omg main leagueoflegends love,0
2022-05-08,getting back leagueoflegends mistake lol,0
2022-05-08,finally watched really liked also ended playing might stop getting steamrolled smurfs,0
2022-05-08,leagueoflegends peak chat bug fun long time,1
2022-05-08,confession love hate relationship leagueoflegends years every time go back fun games makes miserable,0
2022-05-08,cute riot please remove red trinked minion super minons aram,0
2022-05-08,leagueoflegends top streams las hora esp th antonioviewers elbokeronviewers,0
2022-05-08,weekly lineup pokemon social night leagueoflegends windjammers street fighter rocket league super smash bros ultimate guilty gear strive king fighters mario kart deluxe register today,1
2022-05-08,hatred gamers grows stronger everyday grown men whose hobbie csgo leagueoflegends deserve ostracized hopefully credit scores future take care,1
2022-05-08,wait sponsor friendly pro leagueoflegends player fudge stand socially aware guy enjoy engaging parasocial environment,0
2022-05-08,apparently leagueoflegends auto chess mode teamfight tactics game already pretty balanced people complained popular character op annoying made completely insignifcant nerf people stopped playing,0
2022-05-08,one billion games leagueoflegends,0
2022-05-08,leagueoflegends,0
2022-05-08,leagueoflegends,0
2022-05-08,welcome back bash bros sunday malcolm playing leagueoflegends arams reason let go,0
2022-05-08,seems like good kid hope never finds leagueoflegends,0
2022-05-08,man forgot much fun leagueoflegends havent stopped playing lately,1
2022-05-08,nothing makes smile leagueoflegends account euw capsules email included buy,1
2022-05-08,honorable leagueoflegends,0
2022-05-08,apex legend leagueoflegends,0
2022-05-08,streaming playing legends stop chill,0
2022-05-08,leagueoflegends maybe,0
2022-05-08,streaming leagueoflegends pm est come hang got new monitor set tonight trying first time excited,0
2022-05-08,know varus lore,0
2022-05-08,please welcome summer season leagueoflegends staff team,1
2022-05-08,point riot probably taking piss way already discussed disgustingly clunky bug ridden client nothing horizon leave leagueoflegends comes something,0
2022-05-08,happy mother day happy st birthday hall famer negro league legend turkey stearnes flapped arms like turkey ran worked detroit auto factory owned tigers owner could play team race,0
2022-05-08,likes please love leagueoflegends visit us com,1
2022-05-08,afraid misgender fictional character,0
