Datetime,Text,label,label2
2022-05-08,i was the leagueoflegends guy,-1,0
2022-05-08,the most entertaining leagueoflegends content is when people get super tilted and angry ie tyler explaining how bad his teamates are is funny asf sro has the funniest rage montage valkin flaming humzh and i think that says a lot about league,1,1
2022-05-08,yes the tower is the safest place in lane but it is not completely infallible and i do not think it should be i do not think saying that is asinine yes you can back off a turret sacrificing waves to deny kill assist gold is not the end of the world,-1,-1
2022-05-08,we need to collectively obliterate leagueoflegends from our society,-1,-1
2022-05-08,potatoise arcane leagueoflegends,-1,0
2022-05-08,live ranked leagueoflegends rn,-1,0
2022-05-08,let me ask you why should i care can you play satisfactory can you play phasmophobia can you play counter strike can you play leagueoflegends on your precious playstation of course no and why should you care,-1,1
2022-05-08,can we make it so that when shelly is summoned and a team choses to tower dive target lane with shelly the tower only targets shelly this would increase value for shelly imo,-1,1
2022-05-08,leagueoflegends,-1,0
2022-05-08,leagueoflegends,-1,0
2022-05-08,leagueoflegends video post valorant a strategy game that gives instructions to soldiers in real time click the link below to watch now,-1,0
2022-05-08,live playing some leagueoflegends with the homies maybe some flex queue,-1,1
2022-05-08,r,-1,0
2022-05-08,cruyff won barca their first league title in years humiliating madrid season after season became manger and won barca league titles in a row reaching ucl s finals as well so to even include cruyff in that list of not being a legend at barca is laughable,-1,1
2022-05-08,live schedule leagueoflegends,-1,0
2022-05-08,would you guys chill in stream with me if i streamed leagueoflegends tonight and we talked ygo,1,0
2022-05-08,thanks everyone who stopped by my stream today nearly ranked gold in leagueoflegends also almost affiliate on twitch,1,1
2022-05-08,i have just been bullied to the point of tears by elshamus thereaperofmarz chronobunny jcthemann obviavi antoinebonjour archie falls on leagueoflegends,-1,-1
2022-05-08,should be interesting to see rookie shakira austin matchup with legend sylvia fowles tonight will fowles welcome her to the league with one of her dominant performances or can austin keep up,1,1
2022-05-08,leagueoflegends or fifa,-1,0
2022-05-08,seraphine leagueoflegends,-1,0
2022-05-08,day of asking to make yasuo a jungler q dmg buff to jungle camps ez,-1,1
2022-05-08,pls put on back the nexus blitz mod me and my friends love it and we juste wait this,1,1
2022-05-08,leagueoflegends is bad,-1,-1
2022-05-08,logicool g lol k da pro leagueoflegends gx lightsync rgb,1,1
2022-05-08,i would not trust that frames but for most of the numbers being thrown around it is probably fine just keep in mind that ms ping in leagueoflegends will feel like ms in a web browser today so you have even less of a budget to feel fast,1,1
2022-05-08,i have accidentally typed leagueoflegends as my username twice today in the league launcher,1,-1
2022-05-08,day no leagueoflegends,-1,-1
2022-05-08,kindred enthusiast leagueoflegends account discord server,-1,0
2022-05-08,hey guys i have decided to start leagueoflegends again i will be coming back as a kayn jungle main i hope you can all support this decision,1,1
2022-05-08,arcane leagueoflegends series don t look up movie,-1,0
2022-05-08,imagine dragons x j i d enemy from the series arcane leagueoflegends via,-1,-1
2022-05-08,same guy who plays leagueoflegends alone,-1,0
2022-05-08,joke s on them i play leagueoflegends that is like goku training in the hyperbolic time chamber for this game,-1,1
2022-05-08,so like make him gay,-1,1
2022-05-08,jinx,-1,0
2022-05-08,i am now streaming on twitch playing leagueoflegends,-1,1
2022-05-08,eyy real nice of you king,1,1
2022-05-08,sona from leagueoflegends,-1,0
2022-05-08,couple of league legends in there what a family,-1,0
2022-05-08,volibear is a beast recorded by,-1,0
